job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75371604,Data Science Analyst / Senior Data Science Analyst,Data Science Analyst / Senior Data Science Analyst,PSA Corporation Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-24T03:20:18Z,2d ago,https://www.jobstreet.com.sg/job/75371604
75243684,"Data Analyst, Planning & Budgeting - SG Warehouse",The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business...,SHOPEE SINGAPORE PRIVATE LIMITED,Singapore,"Manufacturing, Transport & Logistics",Analysis & Reporting,Full time,,2024-04-19T00:54:48Z,7d ago,https://www.jobstreet.com.sg/job/75243684
75276585,Data Analyst (Data Models| SQL | Cloud Data) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-19T08:14:14Z,7d ago,https://www.jobstreet.com.sg/job/75276585
75242491,Regional Operations Data Analyst,--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-19T00:23:25Z,7d ago,https://www.jobstreet.com.sg/job/75242491
75437356,Data Management Lead/ Data Analyst (Group IT),Join our Talent Community,Far East Organization,North Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-26T09:55:59Z,2h ago,https://www.jobstreet.com.sg/job/75437356
75217932,Senior Data Analyst - Marketplace Product,--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-18T02:23:51Z,8d ago,https://www.jobstreet.com.sg/job/75217932
75137646,"Manager, SIT Teaching and Learning Academy (Data Analytics)",We are looking for an educational data analyst to join our team (SIT Teaching & Learning Academy) and help us leverage data to enhance teaching and...,Singapore Institute of Technology,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-04-15T05:37:00Z,11d ago,https://www.jobstreet.com.sg/job/75137646
75436594,Automotive Engineer,Contribute to analytics forums and cross-functional groups by sharing learning within and beyond Global Battery Engineering and Automotive Engineer...,Lexbuild International Pte Ltd,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-26T05:54:00Z,6h ago,https://www.jobstreet.com.sg/job/75436594
75328142,Business Analyst (ETL/ Data Mapping),We are urgently hiring for a Business Analyst for one of our reputed banking client based in Singapore,JonDavidson Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-22T12:39:08Z,3d ago,https://www.jobstreet.com.sg/job/75328142
75318588,Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Sales,New Business Development,Full time,,2024-04-22T06:34:24Z,4d ago,https://www.jobstreet.com.sg/job/75318588
75407694,Data Analyst (QlikSense),"InfoCepts is a global leader of end-to-end data & analytics solutions with nearly 20 years of experience, also named as Gartner’s 2020, 2021 and 20...",InfoCepts Pte. Ltd.,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-25T06:22:00Z,1d ago,https://www.jobstreet.com.sg/job/75407694
75367686,"Executive, Data & Products","You will be part of a dynamic team to drive growth in designing, managing and developing a Regional Data Warehouse Platform with various local and ...",beIN Sports Asia Pte Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-23T13:46:00Z,2d ago,https://www.jobstreet.com.sg/job/75367686
75287673,Data analyst application,Our client is the leading American laboratory instrument in Manufacturing Industry. They are actively looking to hire a FPNA Data Analyst & Applica...,RGF,Central Region,Accounting,Cost Accounting,Full time,,2024-04-19T16:53:00Z,6d ago,https://www.jobstreet.com.sg/job/75287673
75321849,Business Development (Data Analyst) Intern - Seller Revenue Marketing Solution,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Sales,New Business Development,Full time,,2024-04-22T08:20:42Z,4d ago,https://www.jobstreet.com.sg/job/75321849
75139657,Digital Solution Sales Representative (Data Analytics),The overarching responsibility for the Solution Representative is to deliver project excellence end to end for the account and grow revenue and inc...,IBM SERVICES TALENT DELIVERY PTE. LTD.,Central Region,Sales,Account & Relationship Management,Full time,,2024-04-15T08:26:00Z,11d ago,https://www.jobstreet.com.sg/job/75139657
75250769,Regional Data Analyst - APAC,12 Months Contract with MNC Tech Company,Peoplebank Singapore Pte Ltd,Central Region,Information & Communication Technology,Other,Contract/Temp,$9k - $10k p.m.,2024-04-19T02:20:23Z,7d ago,https://www.jobstreet.com.sg/job/75250769
75111245,"Executive, Procurement (Data Analytics)","We Know What It Takes, Join Us !",ST Engineering Ltd,North-East Region,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Full time,,2024-04-14T07:15:59Z,12d ago,https://www.jobstreet.com.sg/job/75111245
75321083,"Junior Data Analyst - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-22T07:48:24Z,4d ago,https://www.jobstreet.com.sg/job/75321083
75317664,Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Sales,New Business Development,Full time,,2024-04-22T06:26:45Z,4d ago,https://www.jobstreet.com.sg/job/75317664
75436064,"Data Scientist, Risk Data Mining - BRIC - Singapore","- Define risk control measurements. Quantify, generalize and monitor risk related business and operational metrics. Align risk teams and their stak...",TIKTOK PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-26T06:02:00Z,5h ago,https://www.jobstreet.com.sg/job/75436064
75354771,BI Analyst,Genie Financial Services on a lookout for BI Analyst,Genie Financial Services,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-23T10:05:11Z,3d ago,https://www.jobstreet.com.sg/job/75354771
75432241,Data Engineer,This role is perfect for someone who not only excels in Python and data science but also brings strong full stack development skills.,BGC Group Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Contract/Temp,"$6,000 – $8,000 per month",2024-04-26T08:07:05Z,3h ago,https://www.jobstreet.com.sg/job/75432241
75253897,"Data Analyst Intern - Seller Operations, Regional Operations (Summer 2024)",--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Casual/Vacation,,2024-04-19T03:11:15Z,7d ago,https://www.jobstreet.com.sg/job/75253897
75368980,Temporary Data Scientist (IORA),"Date: 23 Apr 2024
Location:
SPECIALTY RESEARCH INST/CTRS, Kent Ridge Campus, SG
Company:
National University of Singapore
Job Description
Work hand...",Yale-NUS College,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Casual/Vacation,,2024-04-23T07:10:00Z,3d ago,https://www.jobstreet.com.sg/job/75368980
75238805,Senior Data Scientist,"As Senior Data Scientist, you will be required to lead the development of distinctive analytical and risk insights that deliver improvements in bus...",Zurich Services (Hong Kong) Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-18T14:51:00Z,7d ago,https://www.jobstreet.com.sg/job/75238805
