job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75111245,"Executive, Procurement (Data Analytics)","We Know What It Takes, Join Us !",ST Engineering Ltd,North-East Region,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Full time,,2024-04-14 07:15:59,10d ago,https://www.jobstreet.com.sg/job/75111245
75321083,"Junior Data Analyst - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-22 07:48:24,2d ago,https://www.jobstreet.com.sg/job/75321083
75317664,Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Sales,New Business Development,Full time,,2024-04-22 06:26:45,2d ago,https://www.jobstreet.com.sg/job/75317664
75354771,BI Analyst,Genie Financial Services on a lookout for BI Analyst,Genie Financial Services,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-23 10:05:11,1d ago,https://www.jobstreet.com.sg/job/75354771
75253897,"Data Analyst Intern - Seller Operations, Regional Operations (Summer 2024)",--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Casual/Vacation,,2024-04-19 03:11:15,5d ago,https://www.jobstreet.com.sg/job/75253897
75368980,Temporary Data Scientist (IORA),"Date: 23 Apr 2024
Location:
SPECIALTY RESEARCH INST/CTRS, Kent Ridge Campus, SG
Company:
National University of Singapore
Job Description
Work hand...",Yale-NUS College,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Casual/Vacation,,2024-04-23 07:10:00,1d ago,https://www.jobstreet.com.sg/job/75368980
75238805,Senior Data Scientist,"As Senior Data Scientist, you will be required to lead the development of distinctive analytical and risk insights that deliver improvements in bus...",Zurich Services (Hong Kong) Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-18 14:51:00,5d ago,https://www.jobstreet.com.sg/job/75238805
75302637,Information Technology - Data Scientist (Data Science Track),"SIA has multiple positions for junior and senior data scientists to drive our AI, data science and business analytics initiatives.
Key Responsibili...",Singapore Airlines,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-21 14:39:00,2d ago,https://www.jobstreet.com.sg/job/75302637
75101363,Data Analytics - Senior Associate/AVP,  Master or equivalent in Data Science / Computing. Candidates with equivalent academic qualifications in other disciplines but able to showcase ke...,ORIENT FUTURES INTERNATIONAL (SINGAPORE) PTE. LTD.,West Region,Banking & Financial Services,Corporate Finance & Investment Banking,Full time,,2024-04-12 15:42:00,11d ago,https://www.jobstreet.com.sg/job/75101363
75288007,Data scientist,"Whizmeal is seeking a talented freelance Data Scientist to join our team and support our efforts in analyzing data for clients within the F&B, hosp...",WHIZMEAL PTE. LTD.,Central Region,Accounting,Bookkeeping & Small Practice Accounting,Full time,,2024-04-19 16:53:00,4d ago,https://www.jobstreet.com.sg/job/75288007
75390837,"Analytics, Insights & Reporting - Specialist","And to get there, we need ambitious people who believe in playing an important part in shaping that future. People seeking unmatched career and per...",AIA SINGAPORE PRIVATE LIMITED - GOH HOCK CHYE SAMUEL,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-24 08:18:00,4h ago,https://www.jobstreet.com.sg/job/75390837
75256126,Data Analyst - Search & Recommendation,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-19 03:36:44,5d ago,https://www.jobstreet.com.sg/job/75256126
75299586,Sr Data Analyst (3PL / MNC),An exciting career opportunity for an MNC client in the Logistics & Supply Chain industry.,People Profilers Pte Ltd,East Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-21 08:15:24,3d ago,https://www.jobstreet.com.sg/job/75299586
75338628,Temporary Data Scientist (IORA),Temporary Data Scientist (IORA),National University of Singapore,Central Region,Education & Training,Other,Contract/Temp,,2024-04-23 01:45:46,1d ago,https://www.jobstreet.com.sg/job/75338628
75367797,System Analyst (Data),"At least 5 years of experience in Data Analytics / BI reporting.Preferably, the incumbent should possess a Diploma / Degree in Computer...",Raffles Medical Group Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-24 02:27:39,10h ago,https://www.jobstreet.com.sg/job/75367797
75190963,Data Scientist,"* Major Foreign-Based Manufacturing Organisation in Singapore
* Key Data Role in Singapore
* Employee-Centric Environment",Hudson Global Resources ( HQ ),Central Region,Information & Communication Technology,Engineering - Software,Full time,to be advised,2024-04-17 05:35:19,7d ago,https://www.jobstreet.com.sg/job/75190963
75187339,Internship - Data Scientist,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17 03:35:18,7d ago,https://www.jobstreet.com.sg/job/75187339
75167648,Data Analyst,"InfoCepts is a global leader of end-to-end data & analytics solutions with nearly 20 years of experience, also named as Gartner s 2020, 2021 and 20...",InfoCepts Pte. Ltd.,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-16 07:43:00,8d ago,https://www.jobstreet.com.sg/job/75167648
